Megye;Nepesseg;atlag kereset;auto allomany;uj auto;hasznalt;eletkor;;;;;;;;;;;
Budapest;1 672 443;618 512;710 752;22 845;702 872;13,2;;;;;;;;;;;
Pest;1 315 964;450 138;618 051;18 912;644 000;16,4;;;;;;;;;;;
Fejér;418 542;489 513;188 010;5 780;192 582;15,3;;;;;;;;;;;
Komárom-Esztergom;300 869;493 628;132 367;4 320;134 635;15,2;;;;;;;;;;;
Veszprém;339 498;449 398;154 697;5 050;155 272;16,45;;;;;;;;;;;
Győr-Moson-Sopron;468 465;520 799;218 001;7 120;227 000;16,45;;;;;;;;;;;
Vas;248 909;458 848;119 578;3 900;122 175;14,8;;;;;;;;;;;
Zala;262 370;407 454;123 859;4 050;125 983;16,1;;;;;;;;;;;
Baranya;357 066;420 598;146 855;4 800;147 255;17,2;;;;;;;;;;;
Somogy;296 422;404 910;129 610;4 200;132 703;17,15;;;;;;;;;;;
Tolna;209 569;462 529;92 562;3 000;92 057;15,05;;;;;;;;;;;
Borsod-Abaúj-Zemplén;629 621;401 345;225 571;5 600;222 732;17,35;;;;;;;;;;;
Heves;288 430;459 026;117 763;3 700;118 010;16,1;;;;;;;;;;;
Nógrád;183 318;389 588;75 017;2 400;75 046;17,7;;;;;;;;;;;
Hajdú-Bihar;521 802;419 811;195 049;5 000;197 488;16,85;;;;;;;;;;;
Jász-Nagykun-Szolnok;358 883;409 910;136 585;3 900;135 395;17,05;;;;;;;;;;;
Szabolcs-Szatmár-Bereg;531 855;358 266;200 102;5 200;200 084;17,95;;;;;;;;;;;
Bács-Kiskun;495 675;427 344;227 173;5 600;230 695;16,5;;;;;;;;;;;
Békés;318 081;377 579;124 935;3 300;124 490;17,6;;;;;;;;;;;
Csongrád-Csanád;392 621;432 404;157 324;4 900;157 299;16,55;;;;;;;;;;;
Összesen;9 610 403;501 127;4 094 129;115 798;3 978 331;15,3;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
