Megye;Nepesseg;atlag kereset;auto allomany;uj auto;hasznalt;eletkor;;;;;;;;;;;;
Budapest;1 685 209;782 459;723 372;20 500;702 872;14,5;;;;;;;;;;;;
Pest;1 336 134;590 879;663 795;19 800;644 000;15,6;;;;;;;;;;;;
Közép-Magyarország;3 021 343;737 525;1 387 167;41 200;1 345 967;14,9;;;;;;;;;;;;
Fejér;418 562;628 252;198 532;5 950;192 582;15,9;;;;;;;;;;;;
Komárom-Esztergom;299 262;644 284;138 785;4 150;134 635;15,4;;;;;;;;;;;;
Veszprém;333 345;579 414;160 122;4 850;155 272;1000,3;;;;;;;;;;;;
Közép-Dunántúl;1 051 169;619 418;497 439;14 900;482 539;15,9;;;;;;;;;;;;
Győr-Moson-Sopron;471 648;685 664;233 647;6 650;227 000;15,1;;;;;;;;;;;;
Vas;245 598;584 636;125 725;3 550;122 175;16,3;;;;;;;;;;;;
Zala;257 371;525 752;129 933;3 950;125 983;16,9;;;;;;;;;;;;
Nyugat-Dunántúl;974 617;624 259;489 305;14 600;474 705;15,9;;;;;;;;;;;;
Baranya;351 158;551 211;151 855;4 600;147 255;16,5;;;;;;;;;;;;
Somogy;290 245;526 223;136 603;3 900;132 703;17,1;;;;;;;;;;;;
Tolna;204 567;599 570;94 757;2 700;92 057;16,2;;;;;;;;;;;;
Dél-Dunántúl;845 970;554 138;383 215;11 400;371 815;16,6;;;;;;;;;;;;
Dunántúl;2 871 756;604 193;1 369 959;40 200;1 329 759;16,1;;;;;;;;;;;;
Borsod-Abaúj-Zemplén;610 927;523 386;229 632;6 900;222 732;17;;;;;;;;;;;;
Heves;282 490;594 594;121 660;3 650;118 010;16,3;;;;;;;;;;;;
Nógrád;178 815;504 309;77 296;2 250;75 046;17,7;;;;;;;;;;;;
Észak-Magyarország;1 072 232;540 062;428 588;12 800;415 788;16,8;;;;;;;;;;;;
Hajdú-Bihar;520 129;564 244;203 438;5 950;197 488;16,5;;;;;;;;;;;;
Jász-Nagykun-Szolnok;349 726;529 208;139 445;4 050;135 395;16,8;;;;;;;;;;;;
Szabolcs-Szatmár-Bereg;520 551;475 563;206 134;6 050;200 084;17,9;;;;;;;;;;;;
Észak-Alföld;1 390 406;523 812;549 017;16 050;532 967;17,1;;;;;;;;;;;;
Bács-Kiskun;488 547;556 535;237 645;6 950;230 695;16,4;;;;;;;;;;;;
Békés;307 112;489 365;128 290;3 800;124 490;17,3;;;;;;;;;;;;
Csongrád-Csanád;388 106;561 080;162 099;4 800;157 299;16,2;;;;;;;;;;;;
Dél-Alföld;1 183 765;541 626;528 034;15 400;512 634;16,5;;;;;;;;;;;;
Alföld és Észak;3 646 403;534 261;1 505 639;44 250;1 461 389;16,8;;;;;;;;;;;;
Ország összesen;9 539 502;646 635;4 263 067;125 183;4 137 884;16,1;;;;;;;;;;;;
