Megye;Nepesseg;atlag kereset;auto allomany;uj auto;hasznalt;eletkor;;;;;;;;
Budapest;1 685 209;782 459;723 372;21 243;702 189;14,2;;;;;;;;
Pest;1 336 134;590 879;663 795;19 493;644 347;15,3;;;;;;;;
Közép-Magyarország;3 021 343;737 525;1 387 167;40 736;1 346 536;14,7;;;;;;;;
Fejér;418 562;628 252;198 532;5 830;192 722;15,6;;;;;;;;
Komárom-Esztergom;299 262;644 284;138 785;4 076;134 789;15,2;;;;;;;;
Veszprém;333 345;579 414;160 122;4 702;155 476;16,1;;;;;;;;
Közép-Dunántúl;1 051 169;619 418;497 439;14 608;482 987;15,7;;;;;;;;
Győr-Moson-Sopron;471 648;685 664;233 647;6 861;226 821;14,8;;;;;;;;
Vas;245 598;584 636;125 725;3 692;122 061;16;;;;;;;;
Zala;257 371;525 752;129 933;3 816;126 144;16,8;;;;;;;;
Nyugat-Dunántúl;974 617;624 259;489 305;14 369;475 026;15,7;;;;;;;;
Baranya;351 158;551 211;151 855;4 459;147 460;16,4;;;;;;;;
Somogy;290 245;526 223;136 603;4 012;132 652;16,9;;;;;;;;
Tolna;204 567;599 570;94 757;2 783;91 927;16;;;;;;;;
Dél-Dunántúl;845 970;554 138;383 215;11 254;372 039;16,4;;;;;;;;
Dunántúl;2 871 756;604 193;1 369 959;40 231;1 330 052;16;;;;;;;;
Borsod-Abaúj-Zemplén;610 927;523 386;229 632;6 744;222 922;17,2;;;;;;;;
Heves;282 490;594 594;121 660;3 573;118 006;16,1;;;;;;;;
Nógrád;178 815;504 309;77 296;2 270;74 998;17,5;;;;;;;;
Észak-Magyarország;1 072 232;540 062;428 588;12 587;415 926;16,9;;;;;;;;
Hajdú-Bihar;520 129;564 244;203 438;5 974;197 250;16,3;;;;;;;;
Jász-Nagykun-Szolnok;349 726;529 208;139 445;4 095;135 072;16,7;;;;;;;;
Szabolcs-Szatmár-Bereg;520 551;475 563;206 134;6 053;199 866;17,8;;;;;;;;
Észak-Alföld;1 390 406;523 812;549 017;16 122;532 188;17;;;;;;;;
Bács-Kiskun;488 547;556 535;237 645;6 979;230 694;16,2;;;;;;;;
Békés;307 112;489 365;128 290;3 767;124 552;17,1;;;;;;;;
Csongrád-Csanád;388 106;561 080;162 099;4 761;157 565;16;;;;;;;;
Dél-Alföld;1 183 765;541 626;528 034;15 507;512 811;16,3;;;;;;;;
Alföld és Észak;3 646 403;534 261;1 505 639;44 216;1 460 925;16,7;;;;;;;;
Ország összesen;9 539 502;646 635;4 263 067;125 183;4 137 884;16,1;;;;;;;;
