24.1.1.22. Magyarországon elsõ alkalommal forgalomba helyezett új és használt közúti gépjármûvek száma jármûnemenként;;;;;;
Év;Személygépkocsi;Autóbusz;Motorkerékpár;Tehergépkocsi;Vontató;Gépjármû összesen
Új;;;;;;
2001;138 206;825;2 903;24 017;1 883;167 834
2002;160 752;604;5 098;28 391;2 448;197 293
2003;190 660;445;6 242;23 014;3 627;223 988
2004;190 246;486;10 962;21 279;3 010;225 983
2005;204 784;600;10 376;22 107;3 722;241 589
2006;184 578;814;9 963;23 211;4 175;222 741
2007;173 804;734;9 283;24 236;5 649;213 706
2008;155 458;748;8 317;23 870;6 339;194 732
2009;63 147;674;3 803;11 872;3 786;83 282
2010;46 074;300;2 236;10 121;2 684;61 415
2011;47 661;210;1 882;12 457;5 156;67 366
2012;57 090;100;1 863;12 047;5 193;76 293
2013;60 210;497;1 954;12 520;6 383;81 564
2014;71 779;549;1 919;17 063;7 502;98 812
2015;81 454;641;2 241;19 385;6 863;110 584
2016;101 383;540;2 387;22 806;6 586;133 702
2017;122 098;820;2 540;21 817;6 930;154 205
2018;141 819;847;3 292;24 793;7 307;178 058
2019;162 944;873;4 328;28 300;6 086;202 531
2020;131 786;716;4 427;23 179;5 007;165 115
2021;125 138;1 144;4 706;24 259;6 494;161 741
2022;115 798;810;5 303;18 870;9 083;149 864
2023;111 933;778;6 703;22 319;8 660;150 393
2024;125 183;450;7 927;26 058;6 894;166 512
Használt;;;;;;
2001;52 312;152;2 107;7 111;1 222;62 904
2002;78 375;217;2 340;9 213;1 339;91 484
2003;83 729;213;2 633;7 756;1 393;95 724
2004;65 576;232;5 190;8 362;2 136;81 496
2005;35 026;438;2 162;13 393;2 449;53 468
2006;18 504;319;2 085;9 358;2 096;32 362
2007;21 807;362;3 498;7 230;1 597;34 494
2008;21 220;375;3 967;5 644;1 378;32 584
2009;12 690;346;4 415;4 530;1 085;23 066
2010;15 250;357;4 172;5 883;1 390;27 052
2011;28 867;439;5 066;7 779;1 604;43 755
2012;49 581;472;5 393;6 673;1 532;63 651
2013;66 727;556;5 737;8 586;1 781;83 387
2014;92 641;764;6 273;12 278;2 049;114 005
2015;118 452;982;6 372;14 277;1 979;142 062
2016;137 272;1 143;6 792;15 620;2 061;162 888
2017;149 622;874;7 505;16 836;2 159;176 996
2018;153 612;896;7 946;18 377;1 997;182 828
2019;151 554;752;8 552;19 045;2 220;182 123
2020;126 725;353;7 389;15 310;1 726;151 503
2021;129 053;373;6 599;14 017;1 693;151 735
2022;121 890;348;6 740;12 848;1 475;143 301
2023;101 489;434;7 271;10 373;1 330;120 897
2024;107 393;330;7 297;9 868;1 358;126 246
Összesen;;;;;;
2001;190 518;977;5 010;31 128;3 105;230 738
2002;239 127;821;7 438;37 604;3 787;288 777
2003;274 389;658;8 875;30 770;5 020;319 712
2004;255 822;718;16 152;29 641;5 146;307 479
2005;239 810;1 038;12 538;35 500;6 171;295 057
2006;203 082;1 133;12 048;32 569;6 271;255 103
2007;195 611;1 096;12 781;31 466;7 246;248 200
2008;176 678;1 123;12 284;29 514;7 717;227 316
2009;75 837;1 020;8 218;16 402;4 871;106 348
2010;61 324;657;6 408;16 004;4 074;88 467
2011;76 528;649;6 948;20 236;6 760;111 121
2012;106 671;572;7 256;18 720;6 725;139 944
2013;126 937;1 053;7 691;21 106;8 164;164 951
2014;164 420;1 313;8 192;29 341;9 551;212 817
2015;199 906;1 623;8 613;33 662;8 842;252 646
2016;238 655;1 683;9 179;38 426;8 647;296 590
2017;271 720;1 694;10 045;38 653;9 089;331 201
2018;295 431;1 743;11 238;43 170;9 304;360 886
2019;314 498;1 625;12 880;47 345;8 306;384 654
2020;258 511;1 069;11 816;38 489;6 733;316 618
2021;254 191;1 517;11 305;38 276;8 187;313 476
2022;237 688;1 158;12 043;31 718;10 558;293 165
2023;213 422;1 212;13 974;32 692;9 990;271 290
2024;232 576;780;15 224;35 926;8 252;292 758
